user_id,Username,anime_id,Anime Title,rating,document
104074,Ylandevinden,226,Elfen Lied,10,"title: elfen lied. genres: action, drama, horror, romance, supernatural. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: arms. rating: r+ - mild nudity. synopsis: lucy is a special breed of human referred to as ""diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. however, once circumstances present her an opportunity to escape, lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors. during her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. in this state of instability, she stumbles upon two college students, kouta and his cousin yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. this act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.."
104074,Ylandevinden,136,Hunter x Hunter,10,"title: hunter x hunter. genres: action, adventure, fantasy. type: tv. episodes: unknown length. era: 90s anime. source: manga. studio: nippon animation. rating: pg-13 - teens 13 or older. synopsis: hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. they have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. however, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate. gon freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the hunter exam. along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking kurapika, aspiring doctor leorio paladiknight, and a mischievous child the same age as gon, killua zoldyck. as the four aspiring hunters embark on a perilous adventure, they fight for their dreams while defying the odds.."
104074,Ylandevinden,138,Hunter x Hunter: Greed Island,10,"title: hunter x hunter: greed island. genres: action, adventure, fantasy. type: ova. episodes: unknown length. era: 2000s anime. source: manga. studio: nippon animation. rating: pg-13 - teens 13 or older. synopsis: after the battle with the spiders, the search for ging continues as gon and killua decided to once again attempt to purchase the rare game ""greed island."" however, gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. but some training must be done, as gon and killua's abilities are still at a developing stage and ""greed island"" is no simple game for anyone to play with. it is the infamous game that could easily lead to one's death. based on the manga by togashi yoshihiro.."
104074,Ylandevinden,139,Hunter x Hunter: Greed Island Final,10,"title: hunter x hunter: greed island final. genres: action, adventure, fantasy. type: ova. episodes: unknown length. era: 2000s anime. source: manga. studio: nippon animation. rating: pg-13 - teens 13 or older. synopsis: continuing with their adventure at greed island, gon and killua train furiously under the guidance of biscuit for better preparation at attempting the game. with their abilities vastly improving and the threat of player killers menacing greed island, gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. based on the manga by togashi yoshihiro.."
104074,Ylandevinden,269,Bleach,8,"title: bleach. genres: action, adventure, fantasy. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: pierrot. rating: pg-13 - teens 13 or older. synopsis: ichigo kurosaki is an ordinary high schooler—until his family is attacked by a hollow, a corrupt spirit that seeks to devour human souls. it is then that he meets a soul reaper named rukia kuchiki, who gets injured while protecting ichigo's family from the assailant. to save his family, ichigo accepts rukia's offer of taking her powers and becomes a soul reaper as a result. however, as rukia is unable to regain her powers, ichigo is given the daunting task of hunting down the hollows that plague their town. however, he is not alone in his fight, as he is later joined by his friends—classmates orihime inoue, yasutora sado, and uryuu ishida—who each have their own unique abilities. as ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young soul reaper soon learns that the hollows are not the only real threat to the human world.."
104074,Ylandevinden,121,Fullmetal Alchemist,8,"title: fullmetal alchemist. genres: action, adventure, award winning, drama, fantasy. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: bones. rating: r - 17+ (violence & profanity). synopsis: edward elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother alphonse try to resurrect their dead mother through the forbidden act of human transmutation, edward loses his brother as well as two of his limbs. with his supreme alchemy skills, edward binds alphonse's soul to a large suit of armor. a year later, edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the philosopher's stone. the fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. edward hopes to draw into the military's resources to find the fabled stone and restore his and alphonse's bodies to normal. however, the elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.."
104074,Ylandevinden,20,Naruto,8,"title: naruto. genres: action, adventure, fantasy. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: pierrot. rating: pg-13 - teens 13 or older. synopsis: moments prior to naruto uzumaki's birth, a huge demon known as the kyuubi, the nine-tailed fox, attacked konohagakure, the hidden leaf village, and wreaked havoc. in order to put an end to the kyuubi's rampage, the leader of the village, the fourth hokage, sacrificed his life and sealed the monstrous beast inside the newborn naruto. now, naruto is a hyperactive and knuckle-headed ninja still living in konohagakure. shunned because of the kyuubi inside him, naruto struggles to find his place in the village, while his burning desire to become the hokage of konohagakure leads him not only to some great new friends, but also some deadly foes.."
104074,Ylandevinden,154,Shaman King,8,"title: shaman king. genres: action, adventure, comedy, supernatural. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: xebec. rating: pg-13 - teens 13 or older. synopsis: a battle is about to begin in tokyo: the shaman fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. the victor of this contest becomes the shaman king and the only one who is able to contact and control the great spirit, allowing them to reshape the world as they please through its immense power. during a late night walk, manta oyamada runs into his classmate, the carefree you asakura, who invites him to come stargazing with some friends, who, to manta's horror, turn out to be ghosts from a local cemetery! however, the knowledge that manta possesses—a rare sixth sense that allows manta to see these spirits—endears the boy to you. so when you finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of amidamaru, a samurai ghost whose tomb was broken by the gang leader. soon manta uncovers more about the world of spirits, including the shaman fight, in which his new friend you aims to claim victory.."
338673,Riko89,5114,Fullmetal Alchemist: Brotherhood,9,"title: fullmetal alchemist: brotherhood. genres: action, adventure, drama, fantasy. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: bones. rating: r - 17+ (violence & profanity). synopsis: after a horrific alchemy experiment goes wrong in the elric household, brothers edward and alphonse are left in a catastrophic new reality. ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. instead, they suffered brutal personal loss: alphonse's body disintegrated while edward lost a leg and then sacrificed an arm to keep alphonse's soul in the physical realm by binding it to a hulking suit of armor. the brothers are rescued by their neighbor pinako rockbell and her granddaughter winry. known as a bio-mechanical engineering prodigy, winry creates prosthetic limbs for edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. after years of training, the elric brothers set off on a quest to restore their bodies by locating the philosopher's stone—a powerful gem that allows an alchemist to defy the traditional laws of equivalent exchange. as edward becomes an infamous alchemist and gains the nickname ""fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.."
338673,Riko89,121,Fullmetal Alchemist,9,"title: fullmetal alchemist. genres: action, adventure, award winning, drama, fantasy. type: tv. episodes: unknown length. era: 2000s anime. source: manga. studio: bones. rating: r - 17+ (violence & profanity). synopsis: edward elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother alphonse try to resurrect their dead mother through the forbidden act of human transmutation, edward loses his brother as well as two of his limbs. with his supreme alchemy skills, edward binds alphonse's soul to a large suit of armor. a year later, edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the philosopher's stone. the fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. edward hopes to draw into the military's resources to find the fabled stone and restore his and alphonse's bodies to normal. however, the elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.."
